Gender,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Female,21,99.15,48.94,50.22,94.15,74.11,9.96,78.14,14.2,High,4,8.3
Female,23,52.9,84.2,47.22,64.81,72.71,3.77,57.15,6.3,Low,5,6.1
Male,21,79.18,64.39,42,,89.38,2.93,85.69,25.5,Medium,10,5.4
Male,19,67.47,43.76,61.83,87.06,59.65,2.39,90.65,20.2,Low,3,6.5
Female,24,92.17,92.5,60.26,61.44,57.61,6.59,96.75,27.2,Low,4,7
Male,23,,73.46,65.85,95.6,83.23,1.09,80.61,9.7,Medium,10,7.5
Female,20,63.02,59.87,70.2,76.74,70.48,9.54,75.72,29,High,10,5.7
Female,19,92.88,60.64,85.47,,85.5,2.94,80.96,22.7,Low,1,8.9
Male,21,68.73,57.42,63.53,88.8,62.83,2.95,97.16,9.9,Medium,6,6.1
Female,20,50.84,67.33,59.84,65.62,66.24,0.46,81.41,16.6,Medium,5,8.2
Male,20,69.51,60.22,89.61,98.16,94.83,2.46,62.88,22.5,Low,5,4.2
Male,22,82.73,72.88,90.99,,71.08,4.19,81.81,5.4,High,4,7.9
Female,22,62.72,86.41,53.97,83.34,79.55,3.7,93.99,24.5,Medium,9,6.8
Female,18,71.6,80.47,58.88,55.68,55.33,2.73,78.35,28.7,High,9,7.2
Male,22,52.84,57.67,89.51,63.16,58.94,0.41,75.13,7,Low,5,5.9
Female,24,79.4,71.72,44.76,75.77,51.79,3.01,86.67,27.5,Low,7,6.7
Male,23,87.81,90.41,59.55,92.57,71.22,7.78,83.05,16.6,Medium,3,8.7
Female,20,70.67,44.09,66.9,59.24,99.45,4.39,52.83,17.9,High,1,5.9
Female,22,71.01,44.7,51.22,55.22,93.69,2.91,86.27,26,Low,1,4.5
Male,18,54.41,73.37,50.79,53.72,81.65,3.05,70.38,19.7,Low,3,7.6
Male,21,60.1,78.35,65.49,75.35,93.05,5.54,97.04,13.8,Medium,3,6.5
Male,23,57.73,52.68,85.27,94.24,79.71,3.02,98.54,23.3,Low,5,6.1
Female,22,74.08,84.71,90.41,52.12,68.44,6.31,72.44,8.5,Medium,8,7.9
Male,20,76.46,78.78,98.75,60.62,58.68,9.89,98.44,21.7,Low,6,6.8
Male,21,,95.4,44.44,84.66,82.65,0.41,65.54,24.4,Medium,8,7.2
Female,24,53.66,50.14,53,91.29,59.65,1.69,84.13,13.4,High,7,8.6
Female,20,79.99,85.08,85.4,90.37,70.87,1.79,53.75,29.3,Low,1,4.3
Male,21,76.32,45.02,72.44,89.25,91.29,4.47,57.25,21,High,10,5.3
Male,24,75.81,73.92,59.66,56.49,56.46,0.41,93.23,7.4,Low,8,8.5
Male,24,93.66,73.11,52.34,69.86,56.45,4.78,94.69,29.2,Medium,1,8
Male,23,60.28,63.3,56.83,99.24,61.22,9.29,76.63,23.6,Low,5,4.9
Female,20,52.04,90.67,65.76,99.44,77.6,0.12,66.99,22.4,Low,3,4.8
Female,22,83.61,40.26,50.63,,62.59,3.65,72.55,11.3,Medium,7,8.1
Male,22,,71.21,97.85,85.46,75.16,7.61,93.48,16.8,Medium,5,6.8
Male,18,50.88,53.03,46.46,97.56,65.1,1.54,60.55,27.5,Medium,2,8.3
Male,21,62.57,84.61,99.13,72.5,75.31,0.78,64.74,12.7,Low,1,8.6
Female,18,65.47,42.58,90.51,56.84,63.88,6.31,89.27,15.6,Medium,10,4.3
Male,19,80.84,89.89,65.39,83.45,99,0.1,96.76,11.4,Low,6,8.8
Male,22,58.63,90.29,84.39,98.01,74.64,8.02,54.65,10.4,Low,6,7.6
Female,21,70.65,89.97,80.29,84.86,87.18,0.67,90.19,6.1,Medium,8,8.2
Female,23,74.12,49.15,52.8,90.17,85.03,5.24,82.25,23.4,High,9,7.2
Male,18,72.96,77.82,60.34,,74.53,7.4,61.54,7.3,Medium,2,5.5
Male,23,98.7,40.86,70.79,54.82,61.94,2.42,87.79,18.3,Low,5,7
Female,23,,90.88,78.27,58.44,75.54,1.04,86.4,6.2,High,5,6.6
Male,23,97.55,83.38,72.57,99.13,84.05,1.76,57.1,29.6,Low,10,8.7
Male,18,79.1,71.87,68.38,74.66,73,8.55,75.11,22.7,Medium,8,6.8
Female,19,89.79,83.84,66.59,50.6,54.1,7.06,87.91,20.8,Low,9,4.1
Female,24,71.52,45.66,69.9,97.77,50.9,1.98,59.58,9.7,Medium,5,7.4
Female,24,72.69,71.72,66.06,74.89,66.39,7.16,73.14,18.2,Low,5,4.3
Male,18,93.97,57.48,72.48,91.81,57.51,7.09,56.04,17.6,Medium,3,8.7
Female,24,94.8,98.36,93.28,77.42,95.31,9.98,65.34,14,Medium,6,6.4
Female,20,61.93,91.43,77.97,55.09,58.79,3.92,60.9,8.9,High,7,8.8
Male,24,59.96,84,83.36,80.78,69.71,8.65,75.25,14.2,Low,3,4.1
Male,22,74.81,96.02,75.85,,85.6,4.46,57.06,20.2,Low,2,6.7
Female,18,95.01,60.81,78.58,51.74,90.77,8.98,69.16,17.2,Low,2,5.1
Female,24,66.12,94.05,74.7,92.09,73.89,0.92,63.76,19.3,High,9,7.2
Male,18,82.6,59.51,41.61,61.77,59.06,1.75,87.3,19.3,High,6,6.5
Male,19,85.41,83.97,99.98,69.69,63.54,8.5,84.98,11.1,Low,2,6.8
Female,20,88.93,84.19,42.02,68.64,70.95,8.19,54.75,7.8,Low,5,5.8
Female,18,78.2,41.1,63.71,,68.23,3.05,97.67,18,Medium,7,4.3
Male,22,70.12,61.66,46.31,75.22,67.43,5.97,87.23,27.3,Medium,1,4.5
Female,24,98.35,41.17,45.82,72.36,56.59,3.83,80.8,29.9,Low,8,8.3
Male,22,80.57,99.83,87.61,,95.67,0.1,73.89,24.6,Medium,6,7.5
Female,24,86.43,47.33,65.56,52.45,51.49,0.26,58.9,10.5,Low,1,7.8
Male,18,67.25,72.57,88.07,54.32,72,0.54,98.1,20.8,Low,8,4.6
Male,23,83.5,87.43,56.37,51.08,99.02,5.94,50.39,11,Medium,5,4.2
Female,24,62.89,52.08,55.39,84.4,82.99,2.79,84.62,19.4,High,7,4.1
Female,23,62.25,69.1,55.07,76.28,67.77,1.44,75.37,17,High,10,6.6
Male,20,85.74,76.45,76.97,93.8,57.3,9.41,95.13,14.5,Medium,4,6.5
Female,22,76.07,49.61,88.9,74.93,98.19,1.21,69.03,21,High,2,4.6
Female,23,84.16,86.71,67.14,61.09,50.7,6.74,75.93,26.4,Low,8,5.7
Female,22,63.47,57.96,62.75,90.26,84.07,8.94,87.12,13.4,Low,4,6.7
Male,24,79.94,52.66,98.41,64.72,94.01,1.64,52.38,17.2,Low,8,7.4
Female,24,72.2,73.5,47.01,96.78,51.26,2.15,52.72,16.4,Low,9,8
Female,20,79.85,64.62,69.2,62.52,86.26,5.74,60.58,11.2,Medium,4,7.2
Male,24,64.54,95.22,64.51,58.39,99.94,5.08,57.32,15.5,Low,8,4.2
Female,20,85.77,92.8,45.89,74.67,81.98,5.21,50.32,5.5,Medium,4,6.9
Female,23,90.3,69,56.09,52.53,70.73,5.55,81.15,17.9,Medium,8,4.4
Male,24,63,61.56,41.71,51.82,93.72,9.5,89.8,23,High,1,6.8
Male,18,65.03,59.53,92.62,74.8,77.71,0.54,97.86,14.2,Medium,2,5.9
Female,21,83.06,56.05,76.47,60.76,87.47,7.6,72.05,23.7,Low,10,5.4
Female,19,,72.67,88.9,50.47,79.39,2.33,63.99,23.8,Medium,3,6.4
Male,21,85.2,88.3,71.29,64.8,51.91,3.74,93.2,29.6,Medium,2,5.9
Male,21,84.13,58.65,75.97,73.87,60.66,0.89,92.22,18.6,Medium,10,8.2
Female,22,69.64,51.41,82.05,69.71,53.94,4.46,81.24,15.1,Low,8,5.1
Female,20,69.74,68.53,94.48,56.77,55.33,8.04,63.66,21,Low,10,4.7
Female,22,62.74,44.14,45.51,78.98,50.77,0.99,95.43,20.7,Low,9,8.2
Male,23,57.84,82.08,59.86,,71.06,2.76,58.92,29.7,Low,9,5.2
Female,19,,71.1,82.54,83.78,58.93,3.73,52.18,22.7,Low,1,4.2
Male,23,54.66,69.78,97.5,69.69,92.78,1.04,89.83,12.7,Low,9,5.9
Male,18,96.89,58.03,98.85,56.88,87.5,7.62,78.18,9.7,High,8,8.1
Male,19,91.33,94.28,78.29,74.97,78.66,7.87,62.32,24.8,Low,8,6.2
Female,22,92.88,45.43,51.62,94.52,74.45,8.36,83.54,9.5,Medium,3,6.4
Female,24,95.33,92.19,47.15,73.44,62.79,5.84,88.34,20.7,Medium,8,4.2
Female,24,70.43,62.6,96.76,59.78,73.75,5.07,92.23,8.3,Medium,2,7.6
Male,22,92.34,92.84,66.04,54.65,82.06,2.63,64.11,23,Low,2,5.7
Female,23,,83.73,51.69,97.2,89.11,6.55,51.28,24.6,Medium,4,7.6
Male,22,51.08,46.25,96.03,87.15,54.08,4.45,75.5,29.8,Medium,7,6.1
Male,22,89.24,89.89,46.27,,85.42,9.71,92.8,28.9,High,4,6.6
Male,21,53.74,80.93,83.77,64.77,87.14,9.68,60.39,22.8,Low,2,6.9
Male,18,99.43,41.94,77.52,94.76,77.95,9.05,71.06,11.9,Medium,5,5
Male,24,83.74,48.02,45.26,58.88,60.72,3.6,62.82,6.1,High,8,5.5
Male,21,87.67,78.14,60.32,76.75,76.96,3.68,50.67,18.9,Low,7,6.9
Female,22,62.29,79.76,49,85.68,75.14,8.53,94.93,24.1,Medium,7,8.1
Male,20,83.69,84.8,76.27,69.82,73.79,7.29,56.75,5.3,Low,9,8.8
Female,21,52.16,83.21,68.63,52,73.03,7.04,88.34,18.1,Low,5,6.6
Male,22,91.89,79.57,40.26,61.39,55.54,2.8,67.33,27.1,High,4,4.4
Female,24,,85.97,98.54,95.09,59.14,8.33,63.88,20.9,Low,10,8.8
Female,22,84.87,74.51,60.98,,54.87,5.79,97.05,22.1,Medium,9,6.1
Female,18,61.22,55.65,55.49,90.77,62.12,4.47,82.86,16.9,Medium,1,4.5
Female,23,53.42,94.74,53.35,77.78,63.17,8.65,84.35,28.6,Low,6,8.9
Male,19,74.07,41.09,49.53,97.18,62.25,3.94,87.98,14.4,High,3,5.4
Male,21,58.46,61.99,99.95,,60.55,6.54,67.05,14.5,Low,6,7.3
Male,21,86.47,83.73,57.71,,86.77,4.66,78.18,17.9,Low,7,4.7
Male,21,61.88,65.63,64.33,65.91,90.93,5.93,63.51,19.6,Low,1,7.6
Female,22,67.12,41.49,92.28,80.08,66.36,0.41,91.73,18.4,Medium,6,8.9
Female,18,78.37,43.96,78.51,83.74,65.26,4.61,79.97,25.5,Low,8,8.9
Female,22,64.25,78.92,62.12,,92.2,5.56,62.17,25.9,Medium,5,4.6
Male,22,,97.89,93.9,91.11,81.2,4.93,94.99,8.3,Medium,5,7.8
Female,23,90.78,73.11,84.98,59.17,64.67,8.47,79.04,19.9,Low,7,7.3
Male,20,58.96,70.41,53.67,,85.68,3.11,74.75,29.6,Medium,8,8
Female,18,54.11,59.1,78.62,84.32,67.23,8.84,51.72,20,Medium,7,5.7
Female,21,66.42,55.4,95.34,,79.33,4.03,95.49,22.2,High,3,6
Female,19,71.22,41.26,69.79,71.99,99.63,6.95,97.61,26.5,High,6,5.7
Female,21,77.13,56.38,84.02,98.19,65.08,0.87,78.13,26.7,High,9,7.8
Female,22,68.62,66.95,98.27,81.29,96.53,2,72.13,5.4,Low,2,8
Male,18,89.5,51.88,81.42,97.45,66.03,7.61,67.98,11,Medium,9,5.2
Female,24,51.97,45.24,46.15,86.12,77.01,0.12,63.4,26.6,Medium,3,6.9
Male,18,71.59,83.06,54.67,86.23,73,9.69,78.73,21.7,Low,3,4.6
Male,18,69.11,93.68,75.71,79.59,89.16,1.91,56.4,20.8,High,10,4.1
Male,20,82.38,96.21,56.53,57.11,53.05,9.01,95.96,26.5,Low,2,7.1
Male,21,98.31,77.08,97.45,,81.36,5.16,58.8,25.2,Medium,3,8.2
Male,20,75.52,43.17,64.32,62.63,88.03,5.65,87.28,23.8,Low,7,8.5
Male,24,99.34,84.45,67.43,99.93,73.61,0.84,65.34,6.2,Medium,3,7.1
Male,24,65.11,46.61,82.1,63.35,55.26,3.65,61.3,24.5,Medium,1,8
Male,23,51.54,80.18,71.45,61.53,62.24,1.56,77.89,10,High,4,6
Female,19,58.28,86.76,62.93,81.19,83.98,5.26,88.26,5.7,Medium,7,8.4
Female,23,69.76,83.55,44.6,75.55,94.77,5.51,86.34,17.3,Medium,6,7.9
Male,22,,97.11,75.79,51.07,71.08,7.1,61.69,28.6,Medium,10,5.5
Male,20,,84.29,92.05,56.48,78.02,8.78,66.53,27.2,High,3,7
Male,20,71.63,81.59,81.15,90.55,61.42,4.68,93.44,29.6,Low,1,4.3
Female,23,66.91,55.7,62.89,74.18,70.61,2.33,86.16,11.2,Medium,8,4.7
Female,22,,95.49,47.66,57.3,66.84,3.34,85.63,22.4,Low,2,8.7
Male,18,64.81,50.77,88.98,73.26,82.78,8.47,63.45,6.4,Medium,5,4
Male,22,94.32,94.29,96.5,62.66,99.23,1.46,89.6,25.1,Low,3,5
Female,21,,58.76,63.3,61.18,90.67,6.27,67.92,18.1,Low,4,4.7
Female,23,85.7,47.81,83.72,97.89,59.61,0.13,70.07,29.9,High,3,7.5
Male,22,80.6,89.6,64.65,68.1,78.88,2.46,64.38,11,Medium,3,4.5
Male,18,71.36,40.15,70.14,52.32,53.32,5.91,56.07,24.6,High,3,4.1
Male,22,61.95,89.93,90.19,98.52,62.35,4.56,71.02,9.3,Medium,10,8.7
Male,20,68.45,55.74,45.01,89.74,58.61,4.94,50.85,12.2,Medium,8,8.4
Female,19,79.61,93.08,71.82,62.72,66.78,6.61,72.8,12.4,Medium,1,5.8
Female,20,,81.49,52.88,70.44,83.94,2.35,86.25,19.4,Low,2,4.5
Male,24,60.74,79.97,60.39,93.11,74.97,2.81,98.04,14.1,Low,2,7.4
Male,19,55.82,61.92,78.67,67.87,96.65,6.84,53.93,16,Medium,9,8.4
Male,24,,43.56,41.63,78.37,60.64,5.38,64.06,18,Medium,7,8.9
Female,22,72.02,89.8,75.63,76.74,68.21,0.15,74.71,6.4,High,10,4.7
Male,21,81.26,50.25,57.01,70.06,66.49,6.7,58.52,21.6,Low,7,7
Male,22,74.52,62.34,80.17,81.98,61.8,6.2,55.84,21.2,Medium,8,6.2
Male,18,93.63,76.02,48.49,73.66,99.66,0.79,72.62,29.1,Low,2,4.8
Female,22,77.35,68.94,84.15,51.06,69.36,7.48,79.04,8.3,Medium,10,8
Male,19,74.04,51.92,78.74,90.72,97.03,5.22,91.01,5.8,Medium,1,7.9
Female,20,96.23,48.44,98.27,55.66,69.52,2.05,99.89,8.3,Low,6,8.8
Male,21,,47.39,94.67,73.2,60.2,5.59,88.71,15.6,Medium,3,4.4
Male,24,55.58,91.78,57,79,55.96,5.95,61.07,10.3,Medium,2,5.2
Male,22,58.89,41.89,41.64,85.28,92.78,9.2,87.4,10.4,Medium,3,8.1
Female,22,89.36,98.62,79.32,70.54,51.6,7.42,76.86,26.7,Medium,4,6
Male,20,91.79,51.91,76.17,86.78,98.22,3.02,72.54,13.1,Low,5,6.4
Male,21,77.26,46.62,41.65,56.57,70.91,1.18,96.79,15.4,High,10,7.1
Female,23,77.72,74.62,47.36,82.67,62.37,8.53,85.1,22.1,High,10,6
Female,24,81.6,44.8,75.08,91.32,80.87,8.46,84.08,13.5,Medium,4,4.2
Female,22,71.96,76.15,94.71,94.47,56.65,1.75,50.59,18.9,Medium,8,7
Male,22,84.01,91.04,94.39,,53.61,0.62,93.25,18.1,Low,6,5.1
Female,23,55.42,42.87,49.09,65.64,91.39,7.12,89.67,11.5,Low,7,8.8
